red
blue
forestgreen
darkviolet
gold2
darkorange3
aquamarine4
aquamarine2
bisque1
darkslategray3
darkslategray1
khaki1
plum2
deeppink
darkmagenta
coral2
burlywood4
hotpink
lightblue2
lightpink4
mediumseagreen
navyblue
olivedrab1
orangered
purple
peru
tan4
tan3
gray23
gray24
gray25
gray26
gray27
gray28
gray29
gray30
gray31
gray32
gray33
gray34
gray35
gray36
gray37
gray38
gray39
gray40
gray41
gray42
gray43
gray44
gray45
gray46
gray47
gray48
gray49
gray50
gray51
gray52
gray53
gray54
gray55
gray56
gray57
gray58
gray59
gray60
gray61
gray62
gray63
gray64
gray65
gray66
gray67
gray68
gray69
gray70
gray71
gray72
gray73
gray74
gray75
gray76
gray77
gray78
