CD3+
CD4+
CD8+
CCR7+
CD45RA+
CD38+
HLA.DR+
CD127+
CD25+
CCR4+
CD45RO+
CXCR3+
CCR6+
CD19+
CD20+
CD27+
IgD+
CD24+
CD14+
CD11c+
CD123+
CD16+
CD56+
CD3-
CD4-
CD8-
CCR7-
CD45RA-
CD38-
HLA.DR-
CD127-
CD25-
CCR4-
CD45RO-
CXCR3-
CCR6-
CD19-
CD20-
CD27-
IgD-
CD24-
CD14-
CD11c-
CD123-
CD16-
CD56-
