CD3+CD4+CXCR3-CCR6-	CD3+CD4+CXCR3-CCR6-	Th2	Th2 T helper	CD3+, CD4+, CD8-, CXCR3-, CCR6-
CD3+CD4+CXCR3+CCR6-	CD3+CD4+CXCR3+CCR6-	Th1	Th1 T helper	CD3+, CD4+, CD8-, CXCR3+, CCR6-
CD3+CD4+CXCR3-CCR6+	CD3+CD4+CXCR3-CCR6+	Th17	Th17 T helper	CD3+, CD4+, CD8-, CXCR3-, CCR6+
CD3+CD4+CXCR3+CCR6+	CD3+CD4+CXCR3+CCR6+			
CD3+CD8+CXCR3-CCR6-	CD3+CD8+CXCR3-CCR6-	Th2	Th2 cytotoxic T cell	CD3+, CD4-, CD8+, CXCR3-, CCR6-
CD3+CD8+CXCR3+CCR6-	CD3+CD8+CXCR3+CCR6-	Th1	Th1 cytotoxic T cell	CD3+, CD4-, CD8+, CXCR3+, CCR6-
CD3+CD8+CXCR3-CCR6+	CD3+CD8+CXCR3-CCR6+	Th17	Th17 cytotoxic T cell	CD3+, CD4-, CD8+, CXCR3-, CCR6+
CD3+CD8+CXCR3+CCR6+	CD3+CD8+CXCR3+CCR6+			
CD14-CD3-CD19-CD20-CD16-CD56-HLA.DR+CD11c+CD123+				
CD14-CD3-CD19-CD20-CD16-CD56-HLA.DR+CD11c-CD123+	CD14-CD3-CD19-CD20-HLA.DR+CD123+	pDC	plasmacytoid dendritic cells	Lin-, CD14-, CD16-, CD56-, HLA-DR+, CD11c-, CD123+
CD14-CD3-CD19-CD20-CD16-CD56-HLA.DR+CD11c+CD123-	CD14-CD3-CD19-CD20-HLA.DR+CD11c+	mDC	myeloid dendritic cells	Lin-, CD14-, CD16-, CD56-, HLA-DR+, CD11c+, CD123-
CD14-CD3-CD19-CD20-CD16-CD56-HLA.DR+CD11c-CD123-				
CD14+CD16+	CD14+CD16+	CD16 monocytes		
CD14+CD16-	CD14+CD16-	conventional monocytes		
CD14-CD3-CD19-CD20-CD16+CD56-	CD14-CD3-CD19-CD20-CD16+CD56-	NK subset		
