"x","celllabel","plabel","marker","markerlabel","penalties","Number Of Hits","Score"
"<http://purl.obolibrary.org/obo/CL_0001020>","mature CD8_alpha-low Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002059>","CD8alpha-positive thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002394>","CD141-positive myeloid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002399>","CD1c-positive myeloid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002454>","Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002455>","CD8_alpha-negative plasmactyoid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002456>","CD8_alpha-positive plasmactyoid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002457>","epidermal Langerhans cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002458>","langerin-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002461>","CD103-positive dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002459>","langerin-negative dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002508>","langerin-negative, CD103-negative lymph node dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002507>","langerin-positive lymph node dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002460>","CD8alpha-negative thymic conventional dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002462>","adipose dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002463>","SIRPa-positive adipose dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002464>","SIRPa-negative adipose dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002466>","small intestine serosal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002505>","liver CD103-negative dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002506>","liver CD103-positive dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002509>","CD103-positive, langerin-positive lymph node dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002510>","CD103-negative, langerin-positive lymph node dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002511>","CD11b-low, CD103-negative, langerin-negative lymph node dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002512>","CD11b-high, CD103-negative, langerin-negative lymph node dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002526>","CD14-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002527>","immature CD14-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002528>","mature CD14-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002529>","CD1a-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002530>","immature CD1a-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002531>","mature CD1a-positive dermal dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002532>","CD16-positive myeloid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002533>","immature CD16-positive myeloid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002534>","mature CD16-positive myeloid dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_1000699>","kidney resident dendritic cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000547>","proerythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002004>","CD34-negative, GlyA-negative proerythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002012>","Kit-low proerythroblast","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000553>","megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002023>","CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002025>","CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002024>","Kit-positive megakaryocyte progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000558>","reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002421>","nucleated reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002422>","enucleated reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002019>","Ly-76 high reticulocyte","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002020>","GlyA-positive reticulocytes","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000611>","eosinophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002007>","Kit-low, CD34-positive eosinophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002008>","CD34-positive, CD38-positive eosinophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000613>","basophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002030>","Fc-epsilon RIalpha-high basophil progenitor cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000623>","natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000823>","immature natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000937>","pre-natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000824>","mature natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002338>","CD56-positive, CD161-positive immature natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002344>","CD56-negative, CD161-positive immature natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000938>","CD56-bright cytokine secreting natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0000939>","cytotoxic CD56-dim natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002343>","decidual natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002345>","CD27-low, CD11b-low immature natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002346>","Dx5-negative, NK1.1-positive immature natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002347>","CD27-high, CD11b-high natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002426>","CD11b-positive, CD27-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002349>","CD27-high, CD11b-low natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002348>","CD27-low, CD11b-high natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002438>","NK1.1-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002439>","NKGA2-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002440>","Ly49D-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002441>","CD94-positive natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002442>","CD94-negative, Ly49CI-negative natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002446>","Ly49CI-negative natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
"<http://purl.obolibrary.org/obo/CL_0002447>","CD94-negative natural killer cell","lacks_plasma_membrane_part","<http://purl.obolibrary.org/obo/PR_000001020>","CD3 epsilon","0","1","1"
