"x","celllabel","parent","parentlabel","Score"
"<http://purl.obolibrary.org/obo/CL_0001001>","immature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001001>","immature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001001>","immature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000998>","CD8_alpha-negative CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001001>","immature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0001001>","immature CD8_alpha-negative CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000998>","CD8_alpha-negative CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0001002>","mature CD8_alpha-negative CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0000999>","CD4-positive CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","<http://purl.obolibrary.org/obo/CL_0001003>","mature CD8_alpha-negative CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0001000>","CD8_alpha-positive CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0001004>","immature CD8_alpha-positive CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0001000>","CD8_alpha-positive CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","<http://purl.obolibrary.org/obo/CL_0001005>","mature CD8_alpha-positive CD11b-negative dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001009>","immature dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001006>","dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","<http://purl.obolibrary.org/obo/CL_0001010>","mature dermal dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0001011>","immature interstitial dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0000841>","mature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0002465>","CD11b-positive dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0001007>","interstitial dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","<http://purl.obolibrary.org/obo/CL_0001013>","mature interstitial dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000453>","Langerhans cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000453>","Langerhans cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","<http://purl.obolibrary.org/obo/CL_0001015>","CD8_alpha-low Langerhans cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000000>","cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000003>","native cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000219>","motile cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000988>","hematopoietic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000548>","animal cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0002371>","somatic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000255>","eukaryotic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000451>","dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000738>","leukocyte","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000453>","Langerhans cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000990>","conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0000840>","immature conventional dendritic cell","1"
"<http://purl.obolibrary.org/obo/CL_0001016>","immature CD1a-positive Langerhans cell","<http://purl.obolibrary.org/obo/CL_0001014>","CD1a-positive Langerhans cell","1"
